Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
20200302,S08000015,NHS Ayrshire and Arran,1,1,0.27174651485094703,NA,0,0,0,7,45,12.228593168292615,10,1,10,NA,10,0,NA,:,NA,:,1,0
20200302,S08000016,NHS Borders,0,0,0,NA,0,0,0,3,32,27.768136063866717,3,0,0,NA,3,0,NA,:,NA,:,0,0
20200302,S08000017,NHS Dumfries and Galloway,0,0,0,NA,0,0,0,11,40,26.97417223008969,13,0,0,NA,13,0,NA,:,NA,:,0,0
20200302,S08000019,NHS Forth Valley,0,1,0.3268721602981074,NA,0,0,0,14,83,27.130389304742916,21,0,0,NA,21,0,NA,:,NA,:,0,0
20200302,S08000020,NHS Grampian,0,1,0.1707796089146956,NA,0,0,0,17,111,18.956536589531208,18,0,0,NA,18,0,NA,:,NA,:,0,0
20200302,S08000022,NHS Highland,0,0,0,NA,0,0,0,2,36,11.219846662095618,3,0,0,NA,3,0,NA,:,NA,:,0,0
20200302,S08000024,NHS Lothian,0,0,0,NA,0,0,0,40,232,25.424936163683984,50,0,0,NA,50,0,NA,:,NA,:,0,0
20200302,S08000025,NHS Orkney,0,0,0,NA,0,0,0,0,4,17.857142857142858,0,0,0,NA,0,0,NA,:,NA,:,0,0
20200302,S08000029,NHS Fife,0,0,0,NA,0,0,0,13,78,20.848368214257075,14,0,0,NA,14,0,NA,:,NA,:,0,0
20200302,S08000030,NHS Tayside,0,1,0.2400672188212699,NA,0,0,0,6,90,21.606049693914297,19,3,15.789473684210526,NA,19,0,NA,:,NA,:,3,0
20200302,S08000031,NHS Greater Glasgow and Clyde,0,0,0,NA,0,0,0,56,210,17.71793054571226,80,0,0,NA,80,0,NA,:,NA,:,0,0
20200302,S08000032,NHS Lanarkshire,0,0,0,NA,0,0,0,24,95,14.351320321469576,33,0,0,NA,33,0,NA,:,NA,:,0,0
20200302,S92000003,Scotland,1,4,0.07317965605561653,NA,0,0,0,193,1056,19.31942919868277,264,4,1.5151515151515151,NA,264,0,NA,NA,NA,:,4,0
20200303,S08000015,NHS Ayrshire and Arran,0,1,0.27174651485094703,NA,0,0,0,17,62,16.848283920758718,19,0,0,NA,19,0,NA,:,NA,:,0,0
20200303,S08000016,NHS Borders,0,0,0,NA,0,0,0,2,34,29.50364456785838,2,0,0,NA,2,0,NA,:,NA,:,0,0
20200303,S08000017,NHS Dumfries and Galloway,0,0,0,NA,0,0,0,6,46,31.020298064603143,10,0,0,NA,10,0,NA,:,NA,:,0,0
20200303,S08000019,NHS Forth Valley,1,2,0.6537443205962148,NA,0,0,0,15,98,32.033471709214524,25,1,4,NA,25,0,NA,:,NA,:,1,0
20200303,S08000020,NHS Grampian,1,2,0.3415592178293912,NA,0,0,0,10,121,20.664332678678168,15,1,6.666666666666667,NA,15,0,NA,:,NA,:,1,0
20200303,S08000022,NHS Highland,0,0,0,NA,0,0,0,8,44,13.71314592033909,10,0,0,NA,10,0,NA,:,NA,:,0,0
20200303,S08000024,NHS Lothian,0,0,0,NA,0,0,0,45,277,30.356497057502,48,0,0,NA,48,0,NA,:,NA,:,0,0
20200303,S08000025,NHS Orkney,0,0,0,NA,0,0,0,1,5,22.32142857142857,1,0,0,NA,1,0,NA,:,NA,:,0,0
20200303,S08000028,NHS Western Isles,0,0,0,NA,0,0,0,1,1,3.7735849056603774,1,0,0,NA,1,0,NA,:,NA,:,0,0
20200303,S08000029,NHS Fife,0,0,0,NA,0,0,0,11,89,23.78852270601128,13,0,0,NA,13,0,NA,:,NA,:,0,0
20200303,S08000030,NHS Tayside,0,1,0.2400672188212699,NA,0,0,0,19,109,26.167326851518425,37,2,5.405405405405405,NA,37,0,NA,:,NA,:,2,0
20200303,S08000031,NHS Greater Glasgow and Clyde,1,1,0.08437109783672504,NA,0,0,0,53,263,22.189598731058688,72,2,2.7777777777777777,NA,72,0,NA,:,NA,:,2,0
20200303,S08000032,NHS Lanarkshire,0,0,0,NA,0,0,0,26,121,18.279050093661247,35,0,0,NA,35,0,NA,:,NA,:,0,0
20200303,S92000003,Scotland,3,7,0.12806439809732895,NA,0,0,0,214,1270,23.23454079765825,288,6,2.083333333333333,NA,288,0,NA,NA,NA,:,6,0
20200304,S08000015,NHS Ayrshire and Arran,0,1,0.27174651485094703,NA,0,0,0,10,72,19.565749069268183,15,1,6.666666666666667,NA,15,0,NA,:,NA,:,1,0
20200304,S08000016,NHS Borders,0,0,0,NA,0,0,0,2,36,31.239153071850055,3,0,0,NA,3,0,NA,:,NA,:,0,0
20200304,S08000017,NHS Dumfries and Galloway,0,0,0,NA,0,0,0,9,55,37.08948681637333,11,0,0,NA,11,0,NA,:,NA,:,0,0
20200304,S08000019,NHS Forth Valley,1,3,0.9806164808943222,NA,0,0,0,18,116,37.91717059458046,33,4,12.12121212121212,NA,33,0,NA,:,NA,:,4,0
20200304,S08000020,NHS Grampian,2,4,0.6831184356587824,NA,0,0,0,5,126,21.518230723251644,7,2,28.57142857142857,NA,7,0,NA,:,NA,:,2,0
